Material,Steel
Geometry,Rectangular
Width,"0.12400",in
Thickness,"0.12400",in
Length,"2.00000",in

Time,Extension,Load
(s),(in),(lbf)
"35.39100","0.02360","249.56055"
"35.49100","0.02366","250.29996"
"35.59100","0.02372","251.09851"
"35.69100","0.02380","252.06223"
"35.79100","0.02386","252.70743"
"35.89100","0.02392","253.07683"
"35.99100","0.02399","254.22659"
"36.09100","0.02407","255.22882"
"36.19100","0.02413","255.86763"
"36.29100","0.02420","256.36582"
"36.39100","0.02426","256.98097"
"36.49100","0.02433","257.97590"
"36.59100","0.02440","259.17555"
"36.69100","0.02447","259.57950"
"36.79100","0.02452","260.04243"
"36.89100","0.02459","260.66079"
"36.99100","0.02466","261.73988"
"37.09100","0.02473","263.01703"
"37.19100","0.02480","263.72933"
"37.29100","0.02486","264.06462"
"37.39100","0.02493","264.82338"
"37.49100","0.02499","265.62911"
"37.59100","0.02506","266.65755"
"37.69100","0.02513","267.37251"
"37.79100","0.02519","267.86126"
"37.89100","0.02526","268.77581"
"37.99100","0.02533","269.87439"
"38.09100","0.02540","270.76182"
"38.19100","0.02546","271.20603"
"38.29100","0.02552","271.77519"
"38.39100","0.02559","272.78315"
"38.49100","0.02567","273.98379"
"38.59100","0.02573","274.62128"
"38.69100","0.02580","275.02446"
"38.79100","0.02585","275.56006"
"38.89100","0.02592","276.61220"
"38.99100","0.02600","277.97527"
"39.09100","0.02607","278.82948"
"39.19100","0.02613","279.14427"
"39.29100","0.02620","279.83747"
"39.39100","0.02626","280.60737"
"39.49100","0.02633","281.62041"
"39.59100","0.02639","282.43838"
"39.69100","0.02645","283.03002"
"39.79100","0.02652","283.80195"
"39.89100","0.02660","284.95009"
"39.99100","0.02667","286.04375"
"40.09100","0.02673","286.24677"
"40.19100","0.02679","287.27032"
"40.29100","0.02686","287.81179"
"40.39100","0.02693","288.97036"
"40.49100","0.02700","290.26581"
"40.59100","0.02706","290.27728"
"40.69100","0.02712","290.89504"
"40.79100","0.02718","291.94084"
"40.89100","0.02726","293.27523"
"40.99100","0.02734","294.33369"
"41.09100","0.02740","294.99766"
"41.19100","0.02746","295.20768"
"41.29100","0.02753","296.31814"
"41.39100","0.02759","297.19918"
"41.49100","0.02766","298.16818"
"41.59100","0.02772","298.80152"
"41.69100","0.02779","299.69650"
"41.79100","0.02786","300.59900"
"41.89100","0.02793","301.95787"
"41.99100","0.02800","302.56995"
"42.09100","0.02806","303.16293"
"42.19100","0.02812","303.80023"
"42.29100","0.02820","305.20380"
"42.39100","0.02827","306.15155"
"42.49100","0.02833","306.67647"
"42.59100","0.02839","307.23630"
"42.69100","0.02845","307.94292"
"42.79100","0.02853","309.42701"
"42.89100","0.02861","310.69963"
"42.99100","0.02867","311.17295"
"43.09100","0.02873","311.76423"
"43.19100","0.02879","312.51857"
"43.29100","0.02886","313.51734"
"43.39100","0.02893","314.58024"
"43.49100","0.02899","315.25892"
"43.59100","0.02906","316.01713"
"43.69100","0.02913","317.26236"
"43.79100","0.02920","318.35339"
"43.89100","0.02927","319.10836"
"43.99100","0.02933","319.81070"
"44.09100","0.02939","320.44218"
"44.19100","0.02946","321.62256"
"44.29100","0.02954","322.88610"
"44.39100","0.02960","323.50841"
"44.49100","0.02966","323.97746"
"44.59100","0.02971","324.74791"
"44.69100","0.02979","326.11720"
"44.79100","0.02987","327.66916"
"44.89100","0.02994","328.21957"
"44.99100","0.03000","328.69405"
"45.09100","0.03006","329.50095"
"45.19100","0.03012","330.48641"
"45.29100","0.03020","331.59152"
"45.39100","0.03026","332.46644"
"45.49100","0.03032","333.19262"
"45.59100","0.03039","334.23505"
"45.69100","0.03047","335.55465"
"45.79100","0.03053","336.40079"
"45.89100","0.03060","336.98287"
"45.99100","0.03066","337.59750"
"46.09100","0.03073","338.89709"
"46.19100","0.03080","340.11389"
"46.29100","0.03087","340.94535"
"46.39100","0.03092","341.38552"
"46.49100","0.03099","342.05336"
"46.59100","0.03106","343.36075"
"46.69100","0.03114","345.01353"
"46.79100","0.03120","345.74496"
"46.89100","0.03126","346.14702"
"46.99100","0.03132","346.96689"
"47.09100","0.03139","347.91862"
"47.19100","0.03146","349.05128"
"47.29100","0.03153","349.99303"
"47.39100","0.03159","350.74767"
"47.49100","0.03166","351.79792"
"47.59100","0.03173","353.03497"
"47.69100","0.03180","354.08865"
"47.79100","0.03186","354.73103"
"47.89100","0.03192","355.40502"
"47.99100","0.03199","356.43046"
"48.09100","0.03207","357.83373"
"48.19100","0.03213","358.83736"
"48.29100","0.03220","359.27743"
"48.39100","0.03225","359.87765"
"48.49100","0.03232","361.02639"
"48.59100","0.03240","362.77588"
"48.69100","0.03247","363.90582"
"48.79100","0.03253","364.24257"
"48.89100","0.03259","365.02553"
"48.99100","0.03266","365.95287"
"49.09100","0.03273","367.18742"
"49.19100","0.03280","368.32824"
"49.29100","0.03286","369.11800"
"49.39100","0.03292","369.87374"
"49.49100","0.03299","371.04636"
"49.59100","0.03307","372.28843"
"49.69100","0.03313","373.19634"
"49.79100","0.03319","373.81761"
"49.89100","0.03326","374.74141"
"49.99100","0.03333","376.23450"
"50.09100","0.03340","377.37131"
"50.19100","0.03346","377.89247"
"50.29100","0.03352","378.43067"
"50.39100","0.03358","379.42450"
"50.49100","0.03366","381.14545"
"50.59100","0.03374","382.50105"
"50.69100","0.03380","382.95643"
"50.79100","0.03386","383.70923"
"50.89100","0.03392","384.65062"
"50.99100","0.03399","385.79676"
"51.09100","0.03406","386.93823"
"51.19100","0.03412","387.85700"
"51.29100","0.03419","388.52583"
"51.39100","0.03426","389.91859"
"51.49100","0.03433","391.23451"
"51.59100","0.03440","392.02711"
"51.69100","0.03446","392.78054"
"51.79100","0.03452","393.60519"
"51.89100","0.03460","395.00426"
"51.99100","0.03467","396.40015"
"52.09100","0.03473","396.95902"
"52.19100","0.03479","397.61048"
"52.29100","0.03485","398.37513"
"52.39100","0.03493","400.05547"
"52.49100","0.03501","401.68582"
"52.59100","0.03507","402.27501"
"52.69100","0.03513","402.91882"
"52.79100","0.03519","403.80839"
"52.89100","0.03526","404.95966"
"52.99100","0.03533","406.25843"
"53.09100","0.03540","407.19559"
"53.19100","0.03545","407.80053"
"53.29100","0.03552","409.04941"
"53.39100","0.03560","410.54020"
"53.49100","0.03567","411.53417"
"53.59100","0.03572","412.19976"
"53.69100","0.03579","412.99710"
"53.79100","0.03586","414.44848"
"53.89100","0.03594","415.87313"
"53.99100","0.03600","416.51078"
"54.09100","0.03606","417.09715"
"54.19100","0.03612","417.93571"
"54.29100","0.03619","419.46403"
"54.39100","0.03627","421.16503"
"54.49100","0.03634","422.03084"
"54.59100","0.03640","422.60241"
"54.69100","0.03646","423.48609"
"54.79100","0.03653","424.55069"
"54.89100","0.03660","425.85929"
"54.99100","0.03666","426.90460"
"55.09100","0.03672","427.57856"
"55.19100","0.03679","428.68726"
"55.29100","0.03686","430.23538"
"55.39100","0.03694","431.50602"
"55.49100","0.03700","432.17109"
"55.59100","0.03706","432.88989"
"55.69100","0.03713","434.20356"
"55.79100","0.03720","435.70642"
"55.89100","0.03727","436.65758"
"55.99100","0.03732","437.25289"
"56.09100","0.03738","437.90698"
"56.19100","0.03746","439.50693"
"56.29100","0.03754","441.28751"
"56.39100","0.03760","442.35892"
"56.49100","0.03766","442.94460"
"56.59100","0.03773","443.88506"
"56.69100","0.03779","444.88476"
"56.79100","0.03786","446.18325"
"56.89100","0.03793","447.40584"
"56.99100","0.03799","448.17805"
"57.09100","0.03805","449.12652"
"57.19100","0.03813","450.75729"
"57.29100","0.03820","452.07167"
"57.39100","0.03826","452.79566"
"57.49100","0.03833","453.56205"
"57.59100","0.03839","454.62838"
"57.69100","0.03847","456.18733"
"57.79100","0.03854","457.40081"
"57.89100","0.03859","457.98336"
"57.99100","0.03865","458.69799"
"58.09100","0.03872","459.92467"
"58.19100","0.03880","461.73206"
"58.29100","0.03887","463.08964"
"58.39100","0.03893","463.66533"
"58.49100","0.03899","464.44014"
"58.59100","0.03906","465.38093"
"58.69100","0.03913","466.83093"
"58.79100","0.03920","468.05410"
"58.89100","0.03925","468.83885"
"58.99100","0.03932","469.78462"
"59.09100","0.03940","471.41405"
"59.19100","0.03947","472.79704"
"59.29100","0.03953","473.57965"
"59.39100","0.03959","474.44288"
"59.49100","0.03966","475.41445"
"59.59100","0.03973","476.76138"
"59.69100","0.03980","478.18746"
"59.79100","0.03986","478.87802"
"59.89100","0.03992","479.54339"
"59.99100","0.03998","480.56662"
"60.09100","0.04006","482.46426"
"60.19100","0.04014","484.14578"
"60.29100","0.04020","484.66603"
"60.39100","0.04026","485.40259"
"60.49100","0.04032","486.29754"
"60.59100","0.04039","487.75518"
"60.69100","0.04046","489.01742"
"60.79100","0.04052","489.96199"
"60.89100","0.04059","490.74262"
"60.99100","0.04066","492.22567"
"61.09100","0.04074","493.83781"
"61.19100","0.04080","494.64505"
"61.29100","0.04086","495.45428"
"61.39100","0.04092","496.32201"
"61.49100","0.04100","497.85912"
"61.59100","0.04107","499.35507"
"61.69100","0.04113","500.09958"
"61.79100","0.04119","500.77445"
"61.89100","0.04125","501.66704"
"61.99100","0.04133","503.25640"
"62.09100","0.04141","505.32458"
"62.19100","0.04147","505.93561"
"62.29100","0.04153","506.60631"
"62.39100","0.04159","507.46646"
"62.49100","0.04166","508.87240"
"62.59100","0.04173","510.20802"
"62.69100","0.04180","511.30474"
"62.79100","0.04185","512.03624"
"62.89100","0.04192","513.39673"
"62.99100","0.04200","514.98988"
"63.09100","0.04207","516.17369"
"63.19100","0.04213","516.90322"
"63.29100","0.04219","517.78418"
"63.39100","0.04226","519.07371"
"63.49100","0.04234","520.73376"
"63.59100","0.04240","521.64600"
"63.69100","0.04245","522.32229"
"63.79100","0.04251","522.91055"
"63.89100","0.04259","524.80869"
"63.99100","0.04267","526.63477"
"64.09100","0.04274","527.60064"
"64.19100","0.04279","528.14718"
"64.29100","0.04286","528.98939"
"64.39100","0.04293","530.44966"
"64.49100","0.04300","531.82651"
"64.59100","0.04306","532.93310"
"64.69100","0.04312","533.52207"
"64.79100","0.04319","534.88322"
"64.89100","0.04327","536.61446"
"64.99100","0.04334","537.81111"
"65.09100","0.04340","538.50371"
"65.19100","0.04346","539.36974"
"65.29100","0.04353","540.57545"
"65.39100","0.04360","542.16113"
"65.49100","0.04367","543.36943"
"65.59100","0.04373","544.00724"
"65.69100","0.04378","544.61691"
"65.79100","0.04386","546.21582"
"65.89100","0.04393","548.05567"
"65.99100","0.04400","549.43394"
"66.09100","0.04406","549.98351"
"66.19100","0.04412","550.64893"
"66.29100","0.04419","552.02204"
"66.39100","0.04426","553.49971"
"66.49100","0.04433","554.72875"
"66.59100","0.04439","555.46229"
"66.69100","0.04446","556.50565"
"66.79100","0.04453","558.28898"
"66.89100","0.04460","559.65106"
"66.99100","0.04467","560.42543"
"67.09100","0.04473","561.26830"
"67.19100","0.04479","562.42193"
"67.29100","0.04486","563.91743"
"67.39100","0.04494","565.30416"
"67.49100","0.04499","565.98029"
"67.59100","0.04505","566.69000"
"67.69100","0.04512","567.95461"
"67.79100","0.04520","570.01768"
"67.89100","0.04527","571.49727"
"67.99100","0.04534","572.23311"
"68.09100","0.04539","572.94064"
"68.19100","0.04546","573.97335"
"68.29100","0.04553","575.48664"
"68.39100","0.04560","576.85289"
"68.49100","0.04566","577.65844"
"68.59100","0.04572","578.42260"
"68.69100","0.04580","580.29495"
"68.79100","0.04587","581.78343"
"68.89100","0.04593","582.72531"
"68.99100","0.04599","583.50073"
"69.09100","0.04606","584.48020"
"69.19100","0.04613","586.04333"
"69.29100","0.04620","587.69383"
"69.39100","0.04626","588.36288"
"69.49100","0.04632","589.02194"
"69.59100","0.04639","590.16645"
"69.69100","0.04646","591.97996"
"69.79100","0.04654","593.53837"
"69.89100","0.04660","594.56472"
"69.99100","0.04666","595.34771"
"70.09100","0.04672","596.21851"
"70.19100","0.04679","597.75881"
"70.29100","0.04686","599.15190"
"70.39100","0.04693","600.13966"
"70.49100","0.04699","600.91387"
"70.59100","0.04706","602.54286"
"70.69100","0.04714","604.18650"
"70.79100","0.04720","605.14254"
